SOURCE_ID	ra	ra_error	dec	dec_error	parallax	parallax_error	pmra	pmra_error	pmdec	pmdec_error	radial_velocity	radial_velocity_error	bp_rp	phot_g_mean_mag	phot_bp_mean_mag	phot_rp_mean_mag	teff_gspphot	pmra_pmdec_corr
6045463444650544896	245.86815057348426	0.07393772900104523	-26.58088383146983	0.04338139295578003	0.536870550340283	0.08312883973121643	-12.347781790092709	0.10696150362491608	-19.78540141842549	0.07580935955047607			1.2792015075683594	17.054241180419922	17.603656768798828	16.32445526123047	6273.400390625	-0.19082732498645782
6045463444650154496	245.87869541366845	0.0430484376847744	-26.57731426872452	0.025835974141955376	0.5361728926425672	0.04569828137755394	-12.360778990746109	0.06565342843532562	-19.54037008440316	0.043557025492191315			1.4837369918823242	15.922555923461914	16.592727661132812	15.108990669250488	6613.1787109375	-0.049997419118881226
6045463547729390720	245.77972829700693	0.05028475448489189	-26.633071218209615	0.03013249672949314	0.5376085018577597	0.05331709235906601	-13.051495877985499	0.07238036394119263	-19.553840069748937	0.05447398126125336			1.2492055892944336	16.415119171142578	16.95074462890625	15.701539039611816	6420.833984375	-0.3795926570892334
6045463547729406848	245.77983735932304	0.05413585528731346	-26.629063419181623	0.03270930051803589	0.5463261064924323	0.057718656957149506	-12.741912533290567	0.07892084121704102	-18.494373772710986	0.05878973379731178			1.246861457824707	16.573028564453125	17.10279083251953	15.855929374694824	6544.80908203125	-0.3534887135028839
6045463577778150656	245.78896572676936	0.15602803230285645	-26.617837892703132	0.09374522417783737	0.5351376204251425	0.1658395379781723	-12.893270030755922	0.2253257781267166	-19.480918258365172	0.1629311740398407			1.4813823699951172	18.44477653503418	19.11650848388672	17.6351261138916	4777.37109375	-0.2382616102695465
6045463582089142144	245.78482175675185	0.04202936962246895	-26.62668929500921	0.025729840621352196	0.5416452015647907	0.04454733803868294	-12.611159869388269	0.061012692749500275	-18.524403937635377	0.04619259759783745			1.305837631225586	16.043909072875977	16.610618591308594	15.304780960083008	15038.1064453125	-0.3963737487792969
6045463612137900288	245.80669650337686	0.2814326584339142	-26.613551567996765	0.17090624570846558	0.5407013868295325	0.2795525789260864	-12.82218611481255	0.3526783883571625	-19.54472677922903	0.2675970196723938			1.621683120727539	19.06720733642578	19.860849380493164	18.239166259765625		-0.3278840184211731
6045463650808608512	245.81963113970647	0.0812838152050972	-26.60773672443507	0.050154298543930054	0.5435704982635562	0.08278455585241318	-11.951708981935486	0.11542443186044693	-18.990714821509076	0.08808322250843048			1.270364761352539	17.24142074584961	17.805191040039062	16.534826278686523	7436.83203125	-0.34950941801071167
6045463685168411008	245.79772560658273	0.10341043025255203	-26.60625557697526	0.06239520385861397	0.5443294706969686	0.10902723670005798	-12.239781781607581	0.15448985993862152	-19.08991889908117	0.11459030956029892			1.3139381408691406	17.63611602783203	18.2204532623291	16.90651512145996	5473.84130859375	-0.4564788341522217
6045463788250582912	245.77979192735182	0.05113232508301735	-26.604430543834265	0.031227082014083862	0.5386709853454182	0.05439238250255585	-12.285746348228704	0.07444700598716736	-19.09592566883223	0.056202106177806854			1.2645673751831055	16.47588348388672	17.002063751220703	15.737496376037598	6510.99365234375	-0.34036609530448914
6045463891326895488	245.78810089275143	0.11404432356357574	-26.597972833332726	0.07040421664714813	0.5408983010303409	0.11359452456235886	-12.425657436886663	0.15657301247119904	-19.26303593572612	0.12030529230833054			1.3245849609375	17.692142486572266	18.275100708007812	16.950515747070312	5516.8310546875	-0.41050124168395996
